epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,10117.4,0.42927,0.4222,0.83729,0.26577,0.26916,0.25398,0.21897,0.77911,3.95556,0.98353,5.4704e-05,5.4704e-05,5.4704e-05
42,10303.2,0.41732,0.4213,0.84428,0.21989,0.32609,0.26264,0.23109,0.77533,3.9669,0.97281,4.94966e-05,4.94966e-05,4.94966e-05
43,10482,0.41979,0.43674,0.83651,0.08027,0.47826,0.26395,0.22772,0.75911,3.94026,0.96605,4.42892e-05,4.42892e-05,4.42892e-05
44,10670.4,0.39908,0.3761,0.84351,0.09595,0.47826,0.25924,0.21893,0.74878,4.00218,0.96507,3.90818e-05,3.90818e-05,3.90818e-05
45,10860.9,0.37566,0.35911,0.82949,0.08675,0.45652,0.25751,0.22308,0.75352,4.0274,0.96003,3.38744e-05,3.38744e-05,3.38744e-05
46,11054.6,0.39054,0.38628,0.8391,0.08456,0.45652,0.26483,0.23009,0.76477,4.00527,0.95433,2.8667e-05,2.8667e-05,2.8667e-05
47,11250.1,0.38084,0.36452,0.81942,0.07993,0.41304,0.25464,0.21843,0.76686,4.01773,0.9573,2.34596e-05,2.34596e-05,2.34596e-05
48,11448.9,0.3823,0.37507,0.83355,0.07787,0.41304,0.26037,0.22347,0.77052,3.99731,0.95929,1.82522e-05,1.82522e-05,1.82522e-05
49,11643.8,0.38871,0.35479,0.83316,0.1611,0.36549,0.25977,0.22299,0.77137,3.98668,0.95914,1.30448e-05,1.30448e-05,1.30448e-05
50,11837.9,0.36375,0.37824,0.83248,0.21675,0.24634,0.25917,0.22363,0.76799,3.98164,0.96098,7.8374e-06,7.8374e-06,7.8374e-06
